employee_id,employee_name,role_title,pay_band,contract_type,employment_type,hire_date,unit_id,status
1065,Employee_65,Admin Officer,Band 6,Permanent,PT,2/24/2020,2,Active
1066,Employee_66,Consultant,Band 7,Bank,FT,2/1/2021,2,Active
1067,Employee_67,Technician,Band 7,Bank,PT,5/7/2023,5,Active
1068,Employee_68,Nurse,Band 5,Permanent,FT,11/17/2021,4,Active
1069,Employee_69,Technician,Band 7,Permanent,PT,1/9/2023,1,Active
1070,Employee_70,Consultant,Band 6,Bank,FT,9/3/2018,5,Active
1071,Employee_71,Consultant,Band 7,Permanent,PT,4/14/2021,2,Active
1072,Employee_72,Consultant,Band 5,Bank,PT,11/28/2020,2,Active
1073,Employee_73,Nurse,Band 5,Bank,PT,2/9/2022,5,Active
1074,Employee_74,Consultant,Band 6,Permanent,PT,9/2/2022,4,Active
1075,Employee_75,Nurse,Band 4,Permanent,PT,1/29/2020,2,Active
1076,Employee_76,Consultant,Band 4,Bank,FT,6/22/2019,4,Active
1077,Employee_77,Technician,Band 7,Bank,FT,3/6/2023,2,Active
1078,Employee_78,Technician,Band 3,Permanent,FT,1/16/2023,2,Active
1079,Employee_79,Admin Officer,Band 7,Bank,PT,7/9/2020,3,Active
1080,Employee_80,Technician,Band 6,Permanent,FT,2/12/2019,2,Active
1081,Employee_81,Admin Officer,Band 6,Bank,PT,6/9/2019,1,Active
1082,Employee_82,Technician,Band 6,Permanent,PT,4/7/2020,5,Active
1083,Employee_83,Nurse,Band 6,Permanent,FT,3/10/2022,5,Active
1084,Employee_84,Technician,Band 6,Permanent,FT,6/21/2020,4,Active
1085,Employee_85,Admin Officer,Band 5,Bank,PT,1/23/2023,2,Active
1086,Employee_86,Admin Officer,Band 4,Bank,FT,2/5/2018,1,Active
1087,Employee_87,Consultant,Band 6,Permanent,PT,11/16/2019,4,Active
1088,Employee_88,Nurse,Band 3,Bank,PT,1/20/2018,3,Active
1089,Employee_89,Technician,Band 3,Permanent,PT,11/17/2018,4,Active
1090,Employee_90,Consultant,Band 3,Permanent,PT,12/5/2022,4,Active
1091,Employee_91,Technician,Band 3,Bank,PT,5/27/2019,2,Active
1092,Employee_92,Technician,Band 5,Bank,FT,2/4/2019,3,Active
1093,Employee_93,Consultant,Band 3,Permanent,FT,10/16/2019,4,Active
1094,Employee_94,Consultant,Band 6,Bank,PT,8/29/2020,1,Active
1095,Employee_95,Consultant,Band 7,Bank,PT,3/22/2023,1,Active
1096,Employee_96,Consultant,Band 3,Permanent,FT,4/16/2019,5,Active
1097,Employee_97,Consultant,Band 5,Permanent,FT,3/12/2021,3,Active
1098,Employee_98,Technician,Band 5,Bank,PT,1/20/2021,3,Active
1099,Employee_99,Consultant,Band 3,Permanent,FT,10/9/2021,5,Active
1100,Employee_100,Nurse,Band 7,Permanent,PT,4/13/2020,4,Active
